File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
DoS Slowhttptest,Random Forest,0.9937261320240044,0.9926743952169925,0.9924204982951312,0.9925473263075723,0.08584141731262207
DoS Slowhttptest,Random Forest,0.9893617021276596,0.9909769947895082,0.9837611771692949,0.9872734744952769,0.09981632232666016
DoS Slowhttptest,Random Forest,0.9897708674304418,0.9895490019844624,0.9861139375615185,0.9878094585787948,0.08304429054260254
DoS Slowhttptest,Random Forest,0.9909983633387889,0.9906942828081653,0.9878935630303056,0.9892793072854063,0.08546209335327148
DoS Slowhttptest,Random Forest,0.9937261320240044,0.9929261282249776,0.9921630028947467,0.9925434800064663,0.08761000633239746
DoS Slowhttptest,Random Forest,0.9736770321876704,0.9801120048878635,0.957731299396547,0.9680143750822625,0.08377623558044434
DoS Slowhttptest,Random Forest,0.9788597926895799,0.9830627369973315,0.9668474672004851,0.9744745955787993,0.0810096263885498
DoS Slowhttptest,Random Forest,0.9924986361156574,0.9937380488251049,0.9884521619230753,0.9910438809191955,0.0877828598022461
DoS Slowhttptest,Random Forest,0.9916803055100928,0.9922252914936339,0.9879953152449736,0.9900772550737502,0.08221817016601562
DoS Slowhttptest,SVM,0.867430441898527,0.8391484900420476,0.8788691798771497,0.852252575290463,0.5079753398895264
DoS Slowhttptest,SVM,0.8769776322967813,0.8487628566440333,0.8842848895884642,0.8616281332344107,0.5317044258117676
DoS Slowhttptest,SVM,0.8915711947626841,0.8654076515925342,0.8894493336268228,0.87554590145632,0.5443556308746338
DoS Slowhttptest,SVM,0.9112111292962357,0.8902036773210902,0.9035035987058779,0.8963660263749311,0.5223641395568848
DoS Slowhttptest,SVM,0.851063829787234,0.8252031745872586,0.8725646957193467,0.837109454439603,0.5332939624786377
DoS Slowhttptest,SVM,0.8326513911620295,0.8015220027849732,0.8345405160706202,0.8126249944936346,0.5235996246337891
DoS Slowhttptest,SVM,0.82924168030551,0.8072305436090101,0.7718466158044032,0.7855988131362203,0.5442025661468506
DoS Slowhttptest,SVM,0.8822967812329514,0.8546131412664044,0.8829413450396835,0.8659410460317771,0.5306785106658936
DoS Slowhttptest,SVM,0.8762956901254774,0.8511018958617211,0.8585623450355302,0.8546579287331393,0.606065034866333
DoS Slowhttptest,SVM,0.8393344244408074,0.8073784559293486,0.8321129989492526,0.8170682704555303,0.7873780727386475
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,1.2648990154266357
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,1.1996774673461914
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,1.011171817779541
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,0.820206880569458
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,0.8097012042999268
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,0.9047222137451172
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,0.8125972747802734
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,0.8290932178497314
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,0.9360084533691406
DoS Slowhttptest,Nearest Neighbors,0.993998908892526,0.9936322833783698,0.99210070562046,0.992862141320433,0.8264031410217285
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.02640676498413086
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.026486635208129883
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.026633024215698242
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.0290679931640625
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.027186155319213867
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.02667069435119629
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.02663278579711914
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.03463125228881836
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.03531765937805176
SSH-Patator,Naive Bayes,0.7306371613887829,0.7619608967150664,0.8068640085321009,0.7256800251426794,0.026522397994995117
SSH-Patator,Random Forest,0.9582856416126161,0.9419990748161418,0.9629298916082492,0.9514468516803829,0.09658575057983398
SSH-Patator,Random Forest,0.9562507948620119,0.938190654562115,0.9636716826088083,0.949368364321236,0.09664201736450195
SSH-Patator,Random Forest,0.9562507948620119,0.938406882912155,0.9631842530153052,0.9493243045766533,0.10163736343383789
SSH-Patator,Random Forest,0.9579041078468777,0.9414718895162656,0.9626577087013357,0.9510190865657817,0.08948087692260742
SSH-Patator,Random Forest,0.956759506549663,0.9390360828108626,0.9636690209562322,0.9499026393732102,0.09214138984680176
SSH-Patator,Random Forest,0.9585399974564416,0.942041623644242,0.9637206338714037,0.9517857062246359,0.10905218124389648
SSH-Patator,Random Forest,0.9571410403154013,0.9404211793781396,0.9621133428875088,0.9501643599600199,0.0940701961517334
SSH-Patator,Random Forest,0.9582856416126161,0.9417524908880711,0.9634173212017523,0.95148991301129,0.09138798713684082
SSH-Patator,Random Forest,0.9557420831743609,0.9378872874388876,0.9624557702776265,0.9487238779466974,0.09105873107910156
SSH-Patator,Random Forest,0.9450591377336894,0.9237469295315378,0.9555657932743049,0.9369954260319251,0.09361457824707031
SSH-Patator,SVM,0.7808724405443215,0.7848351096162629,0.8395331322512674,0.7725509077490844,0.9064102172851562
SSH-Patator,SVM,0.7794734834032812,0.7843571224385906,0.8389007004543788,0.7712940572601803,1.1182458400726318
SSH-Patator,SVM,0.647208444614015,0.5924918150844514,0.5990462257303575,0.5944943872363,1.043665885925293
SSH-Patator,SVM,0.7002416380516342,0.6402004496719674,0.6370015071897022,0.6384793665935233,1.1074490547180176
SSH-Patator,SVM,0.7638305990080122,0.7200084362987728,0.6822434676102341,0.6942028112893466,0.764380931854248
SSH-Patator,SVM,0.700877527661198,0.350438763830599,0.5,0.41206819201435624,0.7383928298950195
SSH-Patator,SVM,0.7893933613124762,0.7646315983831569,0.7003578649750591,0.7180643027922814,0.7216167449951172
SSH-Patator,SVM,0.6969350120819026,0.6368019328826203,0.6345207312647433,0.6355962490869014,0.7175703048706055
SSH-Patator,SVM,0.7765483911992878,0.7542221773115556,0.6725501918241439,0.6896916386000556,0.705700159072876
SSH-Patator,SVM,0.7481877146127432,0.6969990603503298,0.6714495406219101,0.6803175481882784,0.719322681427002
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,0.9530270099639893
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,0.918889045715332
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,0.8222157955169678
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,0.7968111038208008
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,0.8518111705780029
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,0.9023685455322266
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,1.0401859283447266
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,1.2239887714385986
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,1.2212302684783936
SSH-Patator,Nearest Neighbors,0.9537072364237569,0.9364308298989481,0.9582014079447783,0.9461894486248371,1.147524356842041
DoS slowloris,Naive Bayes,0.41563146997929606,0.6668676251464324,0.5849013307196805,0.3971247015046192,0.028931379318237305
DoS slowloris,Naive Bayes,0.41563146997929606,0.6668676251464324,0.5849013307196805,0.3971247015046192,0.024988174438476562
DoS slowloris,Naive Bayes,0.41563146997929606,0.6668676251464324,0.5849013307196805,0.3971247015046192,0.025289297103881836
DoS slowloris,Naive Bayes,0.41563146997929606,0.6668676251464324,0.5849013307196805,0.3971247015046192,0.025451183319091797
DoS slowloris,Naive Bayes,0.41563146997929606,0.6668676251464324,0.5849013307196805,0.3971247015046192,0.025750398635864258
DoS slowloris,Naive Bayes,0.41563146997929606,0.6668676251464324,0.5849013307196805,0.3971247015046192,0.025472640991210938
DoS slowloris,Naive Bayes,0.41563146997929606,0.6668676251464324,0.5849013307196805,0.3971247015046192,0.025499582290649414
DoS slowloris,Naive Bayes,0.41563146997929606,0.6668676251464324,0.5849013307196805,0.3971247015046192,0.024738550186157227
